Potential(V)	Current(uA)
1.557	631.3
1.558	634.4
1.559	637.8
1.56	641.1
1.561	644.6
1.562	646.8
1.563	650.4
1.564	654.4
1.565	657.6
1.566	661.5
1.567	665.4
1.568	670.2
1.569	674.2
1.57	679.5
1.571	684.1
1.572	689.1
1.573	694
1.574	699.7
1.575	705.3
1.576	710.8
1.577	716.8
1.578	723
1.579	730.3
1.58	737.4
1.581	743.7
1.582	750.9
1.583	758
1.584	764.7
1.584	772.9
1.586	780.9
1.587	789.9
1.587	796.9
1.588	806.4
1.589	816.1
1.59	825.4
1.591	835.1
1.592	844.8
1.593	854.5
1.594	864.4
1.595	874.5
1.596	887.8
1.597	898.6
1.598	911.9
1.599	923.8
1.6	936.4
1.601	949.4
1.602	962.4
1.603	976.3
1.604	990.7
1.605	1005
1.606	1019
1.607	1036
1.608	1052
1.609	1068
1.61	1085
1.611	1102
1.612	1121
1.613	1138
1.614	1155
1.615	1175
1.616	1194
1.617	1214
1.618	1235
1.619	1256
1.62	1277
1.621	1297
1.622	1320
1.623	1345
1.624	1367
1.625	1393
1.626	1418
1.627	1445
1.628	1472
1.629	1498
1.63	1525
1.631	1554
1.632	1584
1.633	1616
1.634	1644
1.635	1676
1.636	1707
1.637	1741
1.638	1775
1.639	1809
1.64	1844
1.641	1880
1.642	1915
1.643	1955
1.644	1992
1.645	2032
1.646	2071
1.647	2113
1.648	2156
1.649	2194
1.65	2238
1.651	2282
1.652	2328
1.653	2374
1.654	2422
1.655	2469
1.656	2518
1.657	2569
1.658	2622
1.659	2672
1.66	2725
1.661	2778
1.662	2835
1.663	2890
1.664	2948
1.665	3007
1.666	3066
1.667	3126
1.668	3188
1.669	3249
1.67	3315
1.671	3376
1.672	3441
1.673	3506
1.674	3573
1.675	3642
1.676	3712
1.677	3781
1.678	3848
1.679	3919
1.68	3993
1.681	4066
1.682	4141
1.683	4219
1.684	4294
1.685	4373
1.686	4452
1.687	4534
1.688	4612
1.689	4692
1.69	4774
1.691	4860
1.692	4941
1.693	5024
1.694	5110
1.695	5199
1.696	5286
1.697	5376
1.698	5462
1.699	5554
1.7	5642
1.701	5734
1.702	5828
1.703	5920
1.704	6013
1.704	6126
1.706	6216
1.707	6315
1.707	6412
1.708	6509
1.709	6608
1.711	6708
1.711	6818
1.712	6913
1.713	7019
1.714	7125
1.715	7234
1.716	7345
1.717	7451
1.718	7560
1.719	7673
1.72	7781
1.721	7898
1.722	8009
1.723	8127
1.724	8239
1.725	8359
1.726	8479
1.727	8600
1.728	8715
1.729	8834
1.73	8952
1.731	9076
1.732	9196
1.733	9321
1.734	9434
1.735	9558
1.736	9681
1.737	9799
1.738	9927
1.739	10050
1.74	10190
1.741	10310
1.742	10440
1.743	10570
1.744	10700
1.745	10830
1.746	10960
1.747	11090
1.748	11230
1.749	11360
1.75	11490
1.751	11620
1.752	11750
1.753	11890
1.754	12020
1.755	12150
1.756	12290
1.757	12420
1.758	12550
1.759	12690
1.76	12830
1.761	12960
1.762	13080
1.763	13220
1.764	13360
1.765	13500
1.766	13630
1.767	13760
1.768	13900
1.769	14050
1.77	14180
1.771	14320
1.772	14470
1.773	14610
1.774	14750
1.775	14900
1.776	15030
1.777	15180
1.778	15320
